141 ,   Mozambique ,   67,   33303439
142 ,   MS Zaandam ,   ,   
143 ,   Myanmar ,   353,   55262256
144 ,   Namibia ,   1540,   2648495
145 ,   Nauru ,   91,   10983
146 ,   Nepal ,   396,   30362110
147 ,   Netherlands ,   1326,   17223453
148 ,   New Caledonia ,   1076,   291913
149 ,   New Zealand ,   620,   5002100
150 ,   Nicaragua ,   33,   6808798
151 ,   Niger ,   12,   26256591
152 ,   Nigeria ,   14,   218087726
153 ,   Niue ,   ,   1652
154 ,   North Macedonia ,   4591,   2083174
155 ,   Norway ,   768,   5520317
156 ,   Oman ,   787,   5410351
157 ,   Pakistan ,   133,   230921254
158 ,   Palau ,   383,   18295
159 ,   Palestine ,   1005,   5378729
160 ,   Panama ,   1902,   4473567
161 ,   Papua New Guinea ,   71,   9343301
162 ,   Paraguay ,   2672,   7337350
163 ,   Peru ,   6375,   34045624
164 ,   Philippines ,   568,   112990723
165 ,   Poland ,   3130,   37749789
166 ,   Portugal ,   2491,   10127273
167 ,   Qatar ,   244,   2807805
168 ,   Romania ,   3549,   18938074
169 ,   Russia ,   2673,   146080644
170 ,   Rwanda ,   107,   13703057
171 ,   Réunion ,   988,   910245
172 ,   S. Korea ,   571,   51372263
173 ,   Saint Helena ,   ,   6119
174 ,   Saint Kitts and Nevis ,   851,   54078
175 ,   Saint Lucia ,   2177,   185588
176 ,   Saint Martin ,   1567,   40208
177 ,   Saint Pierre Miquelon ,   175,   5728
178 ,   Samoa ,   144,   201495
179 ,   San Marino ,   3490,   34098
180 ,   Sao Tome and Principe ,   337,   228675
181 ,   Saudi Arabia ,   261,   36081453
182 ,   Senegal ,   111,   17775838
183 ,   Serbia ,   1996,   8655185
184 ,   Seychelles ,   1714,   99770
185 ,   Sierra Leone ,   15,   8356294
186 ,   Singapore ,   283,   5957879
187 ,   Sint Maarten ,   2022,   44014
188 ,   Slovakia ,   3774,   5465820
189 ,   Slovenia ,   3315,   2079606
190 ,   Solomon Islands ,   211,   726275
191 ,   Somalia ,   80,   16930253
192 ,   South Africa ,   1677,   61056760
193 ,   South Sudan ,   12,   11500508
194 ,   Spain ,   2463,   46797083
195 ,   Sri Lanka ,   776,   21623047
196 ,   St. Barth ,   603,   9947
197 ,   St. Vincent Grenadines ,   1029,   111763
198 ,   Sudan ,   108,   46243398
199 ,   Suriname ,   2324,   598918
200 ,   Sweden ,   2022,   10246435
201 ,   Switzerland ,   1619,   8802545
202 ,   Syria ,   171,   18494840
203 ,   Taiwan ,   550,   23917488
204 ,   Tajikistan ,   12,   10038583
205 ,   Tanzania ,   13,   63713566
206 ,   Thailand ,   469,   70209199
207 ,   Timor-Leste ,   100,   1377160
208 ,   Togo ,   33,   8732456
209 ,   Tonga ,   111,   108495
210 ,   Trinidad and Tobago ,   3018,   1410077
211 ,   Tunisia ,   2417,   12107691
212 ,   Turkey ,   1171,   86460458
213 ,   Turks and Caicos ,   901,   39941
214 ,   Tuvalu ,   ,   12132
215 ,   UAE ,   231,   10169748
216 ,   Uganda ,   74,   49119889
217 ,   UK ,   2833,   68719355
218 ,   Ukraine ,   2555,   43120300
219 ,   Uruguay ,   2147,   3501860
220 ,   USA ,   3275,   335246892
221 ,   Uzbekistan ,   47,   34603210
222 ,   Vanuatu ,   43,   323929
223 ,   Vatican City ,   ,   806
224 ,   Venezuela ,   206,   28247771
225 ,   Vietnam ,   434,   99385665
226 ,   Wallis and Futuna ,   649,   10780
227 ,   Western Sahara ,   2,   631684
228 ,   Yemen ,   69,   31362031
229 ,   Zambia ,   205,   19588096
230 ,   Zimbabwe ,   365,   15368753
